DATE,PROVIDER,PROVIDER NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
2011-10-01,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",84893,3038,3151.2322,0.9641,0.9459,1.0563,0.8836,1.1318,2
2011-10-01,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,40781,1409,1324.6377,1.0637,0.9172,1.0878,0.8777,1.1393,2
2011-10-01,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,47916,1456,1422.6907,1.0234,0.9201,1.0847,0.8784,1.1384,2
2011-10-01,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,44246,1631,1568.1283,1.0401,0.9238,1.0805,0.8793,1.1373,2
2011-10-01,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,32812,897,1019.108,0.8802,0.906,1.1006,0.8749,1.1431,2
2011-10-01,RGC,WHIPPS CROSS UNIVERSITY HOSPITAL NHS TRUST,53332,1455,1584.3002,0.9184,0.9242,1.0801,0.8793,1.1372,2
2011-10-01,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,48745,1541,1473.6868,1.0457,0.9214,1.0831,0.8787,1.138,2
2011-10-01,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,32122,1447,1680.7168,0.8609,0.9263,1.0777,0.8798,1.1366,3
2011-10-01,RGQ,IPSWICH HOSPITAL NHS TRUST,49743,1912,1891.568,1.0108,0.9305,1.0731,0.8807,1.1355,2
2011-10-01,RGR,WEST SUFFOLK HOSPITALS NHS TRUST,34166,1234,1354.3246,0.9112,0.9181,1.0868,0.878,1.139,2
2011-10-01,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,70319,1892,2412.9821,0.7841,0.9383,1.0645,0.8822,1.1335,3
2011-10-01,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,61850,1799,1954.3561,0.9205,0.9316,1.0719,0.8809,1.1352,2
2011-10-01,RHM,SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST,85144,2518,2613.6904,0.9634,0.9406,1.0619,0.8827,1.1329,2
2011-10-01,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,104599,3589,4197.1416,0.8551,0.953,1.0486,0.8846,1.1304,3
2011-10-01,RHU,PORTSMOUTH HOSPITALS NHS TRUST,87551,2892,2927.7604,0.9878,0.9439,1.0584,0.8832,1.1322,2
2011-10-01,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,58883,2058,1878.6933,1.0954,0.9302,1.0734,0.8807,1.1355,2
2011-10-01,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,85290,1450,1595.3822,0.9089,0.9244,1.0798,0.8794,1.1371,2
2011-10-01,RJ2,LEWISHAM HEALTHCARE NHS TRUST,35878,949,1000.7359,0.9483,0.9052,1.1016,0.8746,1.1433,2
2011-10-01,RJ6,CROYDON HEALTH SERVICES NHS TRUST,44243,1344,1284.8438,1.046,0.916,1.0892,0.8774,1.1397,2
2011-10-01,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,72669,1638,2105.264,0.778,0.934,1.0692,0.8814,1.1345,3
2011-10-01,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,32466,1082,1004.7129,1.0769,0.9053,1.1014,0.8747,1.1433,2
2011-10-01,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,32877,962,976.4317,0.9852,0.904,1.1029,0.8743,1.1438,2
2011-10-01,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,86049,3062,2968.2847,1.0316,0.9442,1.058,0.8833,1.1321,2
2011-10-01,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,39681,1257,1121.037,1.1213,0.9102,1.0958,0.876,1.1416,2
2011-10-01,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,57757,2268,1976.2525,1.1476,0.9319,1.0715,0.881,1.1351,1
2011-10-01,RJN,EAST CHESHIRE NHS TRUST,24834,958,998.4228,0.9595,0.905,1.1017,0.8746,1.1434,2
2011-10-01,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,48037,1376,1241.8928,1.108,0.9146,1.0908,0.8771,1.1401,2
2011-10-01,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,66337,1420,1543.34,0.9201,0.9232,1.0812,0.8791,1.1375,2
2011-10-01,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,50283,1834,1780.1645,1.0302,0.9284,1.0754,0.8803,1.136,2
2011-10-01,RK9,PLYMOUTH HOSPITALS NHS TRUST,76913,2429,2581.9977,0.9407,0.9403,1.0623,0.8826,1.133,2
2011-10-01,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,82193,2680,2537.591,1.0561,0.9398,1.0629,0.8825,1.1331,2
2011-10-01,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,34745,577,857.5132,0.6729,0.8978,1.1101,0.8726,1.1461,3
2011-10-01,RL4,THE ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,60277,2195,1971.0527,1.1136,0.9318,1.0716,0.881,1.1351,2
2011-10-01,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,61320,2139,2000.3525,1.0693,0.9323,1.071,0.8811,1.135,2
2011-10-01,RLQ,WYE VALLEY NHS TRUST,26319,984,910.9811,1.0802,0.9007,1.1067,0.8734,1.145,2
2011-10-01,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,24161,1024,843.4469,1.2141,0.897,1.111,0.8723,1.1464,1
2011-10-01,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,84238,3048,3075.381,0.9911,0.9452,1.057,0.8835,1.1319,2
